sale_id,sales_amount,product_category,product_name,location_id,date,customer_id
295126,217.44083662575176,Office Products,Niceroker Portable Ring style USB2.0 4/8/16/32/64GB Flash Memory Drive Stick Pen Thumb U-Disk,1873,2023-06-10,3712
295127,645.075155959991,PC,Pepkoo Ipad 2/3/4 Case Plastic Kid Proof Extreme Duty Dual Protective Back Cover with Kickstand and Sticker for Ipad 4/3/2 - Rainproof Sandproof Dust-proof Shockproof (Pink/black),3431,2023-06-10,16166
295128,776.3774326963648,Digital_Music_Purchase,World In Front Of Me,1609,2023-06-10,6648
295129,582.9954782647197,Apparel,L.A. Imprints Hula Girl Bikini Body Cover-Up T-Shirt #29,3473,2023-06-10,1760
295130,881.7942737792611,Furniture,"Sauder Pogo 3-Drawer Chest, Soft White Finish",3344,2023-06-10,4253
295131,97.33513243371814,Apparel,Good Lad Little Girls' Organza Dress,2665,2023-06-10,49574
295132,396.57383206790917,Electronics,HP DeskJet F4435 Power Supply Adapter Cord ***,3006,2023-06-10,40610
295133,483.50916507779567,Apparel,"Pink Camo Apron, Realtree APC Womens Plus & Reg Full Body Twill Apron S-3X",3111,2023-06-10,9628
295134,658.0578841435814,Mobile_Electronics,"3 in 1 Charger Kit, Home/Wall/Travel Charger, Car Charger, Retractable USB kit for Apple iPod iTouch iPhone Touch Video Nano Mini Classic",1139,2023-06-10,37340
295135,493.45728575265906,Music,California,1686,2023-06-10,43422
295136,234.1919247521263,Beauty,Gelish Soak Off Gel Nail Polish,2616,2023-06-10,41924
295137,249.52133013391716,Musical Instruments,Boulder Alpine Deluxe F-Model Mandolin Gig Bag,2296,2023-06-10,48100
295138,915.4515582184532,Digital_Music_Purchase,Tropical Dreams,2843,2023-06-10,21362
295139,93.39593189875019,Grocery,"Natural Stevia Powder - Highly Concentrated Stevia Extract Sugar Substitute- No fillers, Additives or Artificial Ingredients of Any Kind",1806,2023-06-10,31765
295140,442.52466438481514,Mobile_Electronics,Cobble Pro Wireless Earbuds Bluetooth V4.1 Headphone w/ Mic & Charging Case,1765,2023-06-10,5356
295141,116.62047362301128,Grocery,Dolfin Dark Chocolate Bar with Earl Grey Tea-70g,2000,2023-06-10,43604
295142,704.8025847023646,Beauty,"L'Oreal Paris Age Perfect Hydra-Nutrition Golden Balm Eye, 0.5 Fluid Ounce",1253,2023-06-10,23125
295143,359.64801797656975,Outdoors,Petzl E94 Zipka 2 Headlamp,3121,2023-06-10,27906
295144,168.30235364827132,Major Appliances,Whirlpool Part Number DE67-60081A: COUPLER,1010,2023-06-10,27478
295145,451.9902664355114,Digital_Music_Purchase,The Fall,2933,2023-06-10,29441
295146,753.3922617246285,Digital_Video_Download,Big Fish,2912,2023-06-10,819
295147,683.2996133512405,Beauty,Hask Placenta Leave-in Conditioning Treatment Super Strength 5 oz. Pump (case of 6),3369,2023-06-10,21125
295148,440.5393534575048,Beauty,"Smith And Nephew Flexifix Opsite Transparent Adhesive Film Roll 4""X10.9 Yards - Model 66000041",1796,2023-06-10,16446
295149,431.1856377321594,Grocery,"Great Lakes Gelatin, 2 Collagen Hydrolysate 16-Ounce Cans and Measuring Spoons Combo Pack",2353,2023-06-10,3623
295150,794.4387928115741,Apparel,Levi's Women's 505 Straight-Leg Jean,2775,2023-06-10,17171
295151,343.51952663070784,Digital_Video_Games,Gardenscapes: Mansion Makeover [Download],3344,2023-06-10,29281
295152,917.2649261407147,Electronics,Boston Acoustics SoundWare XS 5.1 Home Theater Speaker System (White),2260,2023-06-10,38328
295153,862.7648368478029,Digital_Software,QuickBooks Payroll Enhanced 2015,2711,2023-06-10,6882
295154,266.13248635877767,Camera,Clarifi for Iphone 3G/3GS Wht,2714,2023-06-10,24361
295155,766.2760797749455,Apparel,"Marilyn Lipstic Sexy Classic Celebrity Oldies Beauty Men's Size Hoodie Sweatshirt (XL, RED)",2648,2023-06-10,37313
295156,514.1737642248912,Furniture,"Furinno Home Laptop Notebook Computer Desk Table, Easy Assembly",2355,2023-06-10,26420
295157,527.9229477520969,Digital_Video_Download,Marvel's Agents of S.H.I.E.L.D. Season 1,2686,2023-06-10,35212
295158,282.47613092325264,Automotive,"Superwinch 2236 Quick Connect, commercial grade terminals (pair) with covers, for winches 5000 lb capacity & over",1669,2023-06-10,7745
295159,705.4781694113822,Musical Instruments,Audio-Technica ATH-M50x Closed-Back Professional Studio Monitor Headphones,1717,2023-06-10,10086
