product_category,total_sales,total_transactions
Apparel,171231.77318510792,326
Automotive,94439.86176602922,187
Baby,91276.12775744368,173
Beauty,114923.08099984734,221
Books,119106.31707371621,228
Camera,81119.82651177107,165
Digital_Ebook_Purchase,103776.34120981522,212
Digital_Music_Purchase,103182.17784032959,212
Digital_Software,67027.87309700019,125
Digital_Video_Download,86859.25337554846,164
Digital_Video_Games,81941.87027849827,166
Electronics,100004.90675256557,199
Furniture,79990.37714131379,163
Gift Card,19720.54742092078,41
Grocery,99000.99784548923,199
Health & Personal Care,99170.04780816048,190
Major Appliances,138067.41003901095,263
Mobile_Apps,75663.60088678639,160
Mobile_Electronics,64412.24278686341,139
Music,100195.10403063937,190
Musical Instruments,98014.03298078307,189
Office Products,105292.96223266238,210
Outdoors,97209.84606887579,189
PC,96691.74187072724,185
Toys,1531.9910464270506,4
Video DVD,14410.44848700382,25
