customer_id,gender,age,income_level,location
1,Female,56,High,40
2,Male,47,Low,47
3,Male,44,Low,62
4,Male,68,High,99
5,Male,25,Medium,46
6,Female,58,Medium,12
7,Male,37,Medium,39
8,Female,49,Low,51
9,Male,34,High,73
10,Female,31,Medium,76
11,Male,36,Medium,29
12,Male,64,Low,93
13,Female,58,Medium,39
14,Male,30,High,20
15,Male,58,High,78
16,Non-binary,36,Low,70
17,Female,24,Low,32
18,Female,68,Low,85
19,Male,24,Low,13
20,Male,43,Medium,10
21,Male,45,Medium,54
22,Male,33,Low,4
23,Female,28,Low,86
24,Male,43,Medium,55
25,Female,63,Medium,93
26,Non-binary,70,Medium,78
27,Female,27,High,22
28,Male,49,High,17
29,Female,23,Medium,21
30,Male,65,High,22
31,Female,50,High,90
32,Male,66,Low,99
33,Male,70,Low,2
34,Female,57,Medium,10
35,Male,20,High,37
36,Male,49,Low,42
37,Male,69,Low,76
38,Male,43,Medium,69
39,Female,61,Low,58
40,Male,66,Medium,60
41,Female,67,Low,36
42,Male,52,High,22
43,Male,58,Medium,34
44,Non-binary,49,High,8
45,Male,30,Low,54
46,Female,21,Medium,63
47,Female,65,Medium,73
48,Male,68,High,76
49,Male,54,Low,80
50,Female,62,Medium,100
51,Female,69,Low,73
52,Male,51,Low,57
53,Female,60,High,86
54,Female,40,Medium,14
55,Female,47,High,76
56,Non-binary,49,Medium,24
57,Male,56,High,29
58,Male,20,Low,40
59,Non-binary,66,Medium,27
60,Female,31,Medium,31
61,Non-binary,42,Medium,59
62,Female,44,Medium,89
63,Male,19,Low,93
64,Male,26,Medium,21
65,Female,22,Medium,27
66,Male,58,Medium,73
67,Female,64,Medium,95
68,Male,55,Medium,34
69,Female,62,High,20
70,Female,18,High,84
71,Female,44,High,18
72,Male,57,Medium,7
73,Male,52,High,60
74,Female,49,Medium,82
75,Male,26,Low,85
76,Female,61,High,52
77,Female,35,Medium,98
78,Male,55,Low,51
79,Female,30,Medium,9
80,Female,30,High,71
81,Male,61,Low,93
82,Female,68,Low,100
83,Male,33,Medium,34
84,Male,68,High,74
85,Non-binary,39,Medium,47
86,Male,61,Medium,69
87,Male,41,Low,10
88,Male,38,Medium,31
89,Male,44,Low,17
90,Female,56,Low,92
91,Male,46,Medium,82
92,Male,57,Medium,81
93,Male,44,Medium,93
94,Female,39,Low,32
95,Male,69,Medium,38
96,Female,23,Medium,29
97,Female,20,Medium,9
98,Female,60,Medium,51
99,Female,47,High,65
100,Male,38,High,13
101,Male,54,Medium,36
102,Female,28,Medium,6
103,Non-binary,25,Medium,36
104,Male,50,High,85
105,Female,23,Medium,90
106,Female,25,Low,56
107,Non-binary,70,Low,67
108,Female,54,Medium,83
109,Male,20,Medium,82
110,Male,33,Low,1
111,Male,53,Medium,36
112,Female,48,High,63
113,Male,66,Medium,74
114,Female,41,Low,30
115,Male,27,Low,93
116,Male,40,Low,88
117,Male,28,Low,25
118,Male,28,High,59
119,Male,53,Medium,79
120,Female,60,High,6
121,Female,18,Low,75
122,Female,42,Medium,7
123,Male,63,Medium,43
124,Female,25,Medium,7
125,Female,62,Medium,24
126,Female,45,High,42
127,Female,33,Low,23
128,Non-binary,40,Low,33
129,Male,54,High,20
130,Male,29,High,41
131,Male,49,Medium,52
132,Male,21,Low,47
133,Female,31,Low,19
134,Non-binary,26,Medium,45
135,Female,68,Medium,59
136,Male,31,Low,25
137,Male,21,Low,26
138,Female,54,High,45
139,Female,28,High,78
140,Male,47,Medium,11
141,Female,44,Low,1
142,Male,36,Low,8
143,Female,24,Medium,42
144,Male,69,Low,11
145,Non-binary,44,High,25
146,Non-binary,58,Medium,96
147,Male,51,Low,99
148,Female,54,Medium,100
149,Non-binary,33,Low,12
150,Male,23,Medium,58
151,Female,46,Medium,66
152,Female,48,High,37
153,Male,44,Medium,91
154,Female,70,Medium,36
155,Male,29,Medium,1
156,Female,31,Medium,3
157,Male,19,Low,78
158,Male,35,Medium,50
159,Female,67,Low,54
160,Female,24,High,60
161,Female,54,Medium,77
162,Non-binary,40,Medium,26
163,Female,59,Medium,92
164,Male,61,Medium,56
165,Female,33,High,2
166,Male,29,Low,63
167,Male,35,Low,73
168,Male,44,Medium,52
169,Female,20,Low,41
170,Female,24,Low,26
171,Male,46,Medium,48
172,Female,63,Low,6
173,Female,44,Medium,96
174,Non-binary,48,Medium,64
175,Female,51,Low,61
176,Non-binary,34,High,2
177,Female,38,Low,13
178,Male,55,Low,68
179,Male,33,Medium,18
180,Female,39,Medium,61
181,Female,25,Medium,64
182,Female,68,High,66
183,Female,29,Medium,75
184,Male,50,Medium,51
185,Female,55,Medium,12
186,Male,70,Medium,25
187,Female,29,High,21
188,Female,69,Medium,35
189,Female,67,Low,85
190,Male,50,High,40
191,Male,34,Low,13
192,Male,43,Low,80
193,Female,64,Low,80
194,Male,52,Medium,99
195,Male,35,Medium,89
196,Female,53,Medium,57
197,Female,21,Medium,93
198,Female,41,Low,32
199,Male,53,Medium,59
200,Female,50,Medium,20
201,Female,51,Low,73
202,Male,47,High,27
203,Male,62,Medium,70
204,Male,34,High,19
205,Female,56,Medium,55
206,Male,59,Low,18
207,Male,20,Medium,27
208,Male,48,Medium,93
209,Female,40,Medium,49
210,Female,22,Medium,57
211,Female,38,High,18
212,Male,58,High,56
213,Male,48,High,38
214,Male,26,High,54
215,Female,62,Low,65
216,Non-binary,22,Low,34
217,Female,64,Medium,38
218,Female,46,Medium,44
219,Male,23,Medium,98
220,Female,30,Medium,96
221,Female,58,Medium,38
222,Male,59,Medium,70
223,Male,49,Low,51
224,Female,56,Low,19
225,Female,64,Medium,53
226,Female,61,Medium,52
227,Male,41,Medium,59
228,Female,68,Low,19
229,Female,45,Medium,43
230,Male,19,Low,14
231,Male,39,Medium,61
232,Male,70,Medium,63
233,Female,57,High,38
234,Male,65,Medium,95
235,Male,58,Medium,28
236,Male,56,Medium,51
237,Female,50,Medium,35
238,Female,50,Medium,78
239,Male,41,Medium,21
240,Female,48,Medium,12
241,Female,29,Medium,49
242,Male,59,High,7
243,Female,32,Low,29
244,Male,53,Medium,80
245,Female,57,Low,45
246,Female,39,Low,69
247,Male,37,Medium,66
248,Female,56,Medium,64
249,Female,20,High,100
250,Male,69,Medium,14
251,Female,47,Low,100
252,Male,20,Low,42
253,Female,32,Low,48
254,Male,65,Medium,92
255,Male,36,Medium,20
256,Male,38,Medium,76
257,Non-binary,25,Low,24
258,Female,24,Low,8
259,Female,54,Medium,70
260,Male,55,Medium,37
261,Female,24,Medium,86
262,Female,56,Low,42
263,Non-binary,41,Low,71
264,Male,63,High,95
265,Female,58,Medium,78
266,Male,26,Low,37
267,Male,70,Medium,75
