city,state_name,lat,lng,population,location_id
New York,New York,40.6943,-73.9249,18908608,1001
Los Angeles,California,34.1141,-118.4068,11922389,1002
Chicago,Illinois,41.8375,-87.6866,8497759,1003
Miami,Florida,25.784,-80.2101,6080145,1004
Houston,Texas,29.786,-95.3885,5970127,1005
Dallas,Texas,32.7935,-96.7667,5830932,1006
Philadelphia,Pennsylvania,40.0077,-75.1339,5683533,1007
Atlanta,Georgia,33.7628,-84.422,5180179,1008
Washington,District of Columbia,38.9047,-77.0163,5116378,1009
Boston,Massachusetts,42.3188,-71.0852,4328315,1010
Phoenix,Arizona,33.5722,-112.0892,4064275,1011
Detroit,Michigan,42.3834,-83.1024,3725908,1012
Seattle,Washington,47.6211,-122.3244,3561397,1013
San Francisco,California,37.7558,-122.4449,3364979,1014
San Diego,California,32.8313,-117.1222,3046560,1015
Minneapolis,Minnesota,44.9635,-93.2678,2892569,1016
Tampa,Florida,27.9945,-82.4447,2861173,1017
Brooklyn,New York,40.6501,-73.9496,2736074,1018
Denver,Colorado,39.762,-104.8758,2687458,1019
Queens,New York,40.7498,-73.7976,2405464,1020
Riverside,California,33.9381,-117.3949,2332836,1021
Las Vegas,Nevada,36.2333,-115.2654,2248047,1022
Baltimore,Maryland,39.3051,-76.6144,2196524,1023
St. Louis,Missouri,38.6359,-90.2451,2130881,1024
Portland,Oregon,45.5371,-122.65,2095808,1025
San Antonio,Texas,29.4632,-98.5238,2058444,1026
Sacramento,California,38.5677,-121.4685,1957738,1027
Austin,Texas,30.3005,-97.7522,1905945,1028
Orlando,Florida,28.4773,-81.337,1882705,1029
San Juan,Puerto Rico,18.3985,-66.061,1814587,1030
San Jose,California,37.3012,-121.848,1771413,1031
Pittsburgh,Pennsylvania,40.4397,-79.9763,1749091,1032
Indianapolis,Indiana,39.7771,-86.1458,1729849,1033
Manhattan,New York,40.7834,-73.9662,1694263,1034
Cincinnati,Ohio,39.1413,-84.506,1692702,1035
Kansas City,Missouri,39.1238,-94.5541,1689556,1036
Cleveland,Ohio,41.4764,-81.6805,1680247,1037
Columbus,Ohio,39.9862,-82.9855,1572546,1038
Bronx,New York,40.8501,-73.8662,1472654,1039
Virginia Beach,Virginia,36.7335,-76.0435,1443020,1040
Charlotte,North Carolina,35.2083,-80.8303,1427444,1041
Milwaukee,Wisconsin,43.0642,-87.9675,1290940,1042
Providence,Rhode Island,41.823,-71.4187,1290271,1043
Jacksonville,Florida,30.3322,-81.6749,1288298,1044
Nashville,Tennessee,36.1715,-86.7842,1177657,1045
Salt Lake City,Utah,40.7776,-111.9311,1173879,1046
Raleigh,North Carolina,35.8324,-78.6429,1163152,1047
Richmond,Virginia,37.5295,-77.4756,1073223,1048
Memphis,Tennessee,35.1087,-89.9663,1037998,1049
Oklahoma City,Oklahoma,35.4676,-97.5136,998806,1050
Hartford,Connecticut,41.7661,-72.6834,974684,1051
Louisville,Kentucky,38.1663,-85.6485,963812,1052
Buffalo,New York,42.9018,-78.8487,944589,1053
New Orleans,Louisiana,30.0687,-89.9288,932759,1054
Fort Worth,Texas,32.7817,-97.3474,924663,1055
Bridgeport,Connecticut,41.1918,-73.1954,908251,1056
Tucson,Arizona,32.1541,-110.8787,878320,1057
El Paso,Texas,31.8476,-106.43,865270,1058
Omaha,Nebraska,41.2627,-96.0529,821345,1059
McAllen,Texas,26.2252,-98.2467,797341,1060
Birmingham,Alabama,33.5279,-86.7971,782111,1061
Albuquerque,New Mexico,35.1054,-106.6465,769986,1062
Tulsa,Oklahoma,36.1283,-95.9042,731743,1063
Fresno,California,36.783,-119.7939,725276,1064
Charleston,South Carolina,32.8168,-79.9687,706884,1065
Rochester,New York,43.168,-77.6162,699921,1066
Dayton,Ohio,39.7805,-84.2003,668825,1067
Cape Coral,Florida,26.6443,-81.9957,654405,1068
Mission Viejo,California,33.6096,-117.6551,642211,1069
Colorado Springs,Colorado,38.8674,-104.7605,638194,1070
Baton Rouge,Louisiana,30.442,-91.1311,635671,1071
Allentown,Pennsylvania,40.5961,-75.4756,627863,1072
Ogden,Utah,41.2279,-111.9682,622918,1073
Provo,Utah,40.2457,-111.6457,619218,1074
Knoxville,Tennessee,35.9692,-83.9496,615829,1075
Grand Rapids,Michigan,42.9619,-85.6562,609023,1076
Columbia,South Carolina,34.0378,-80.9036,604065,1077
Albany,New York,42.6664,-73.7987,590694,1078
Bakersfield,California,35.3529,-119.0359,571992,1079
New Haven,Connecticut,41.3113,-72.9246,565572,1080
Des Moines,Iowa,41.5725,-93.6105,548926,1081
Akron,Ohio,41.0798,-81.5219,541945,1082
Palm Bay,Florida,27.9631,-80.6593,534348,1083
Concord,California,37.9722,-122.0016,531175,1084
Wichita,Kansas,37.6895,-97.3443,509003,1085
Mesa,Arizona,33.4015,-111.7178,503390,1086
Harrisburg,Pennsylvania,40.2752,-76.8843,498329,1087
Staten Island,New York,40.5834,-74.1496,495747,1088
Toledo,Ohio,41.6638,-83.5827,493302,1089
Worcester,Massachusetts,42.2705,-71.8079,486486,1090
Long Beach,California,33.7977,-118.167,462293,1091
Port St. Lucie,Florida,27.2796,-80.3884,462047,1092
Little Rock,Arkansas,34.7256,-92.3577,459409,1093
Reno,Nevada,39.5497,-119.8483,457702,1094
Spokane,Washington,47.6671,-117.433,456219,1095
Madison,Wisconsin,43.0822,-89.393,451652,1096
Boise,Idaho,43.6005,-116.2308,449776,1097
